keep,row_id,table_number,table_title,grouping_basis,group_label,trial_label,combined_group,citation_display,title,authors,year,doi,journal,reference_number,study_design,sample_size,outcome_measure,outcome_result,bibliography_entry_text,bibliography_match_method,notes,needs_review
True,1,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,JULIET,FACT-G / JULIET,Maziarz 2020 [19],Patient-reported long- term quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma,Maziarz RT,2020,,,19,,,,,"Maziarz RT, Waller EK, Jaeger U, et al. Patient-reported long- term quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma. Blood Adv. 2020;4(4):629–37.",reference_number,Phase 2 single-arm; tisagenlecleucel; R/R DLBCL 2+ prior lines; Global,
True,2,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,JULIET,FACT-G / JULIET,Tam 2019 [67],Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F,Tam CS,2019,,,67,,,,,"Tam CS, Waller EK, Jaeger U, et al. Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F. F. Liu et al. large B-cell lymphoma (DLBCL): 19-month follow-up (FU) of the Juliet study. Biol Blood Marrow Transplant. 2019;25(3):S181–2.",reference_number,Phase 2 single-arm; tisagenlecleucel; R/R DLBCL 2+ prior lines; Global,
True,3,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,JULIET,FACT-G / JULIET,Maziarz 2017 [68],Patient-reported qual- ity of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),Maziarz RT,2017,,,68,,,,,"Maziarz RT, Bishop MR, Tam CS, et al. Patient-reported qual- ity of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL). Blood. 2017;130(suppl 1):5215.",reference_number,Phase 2 single-arm; tisagenlecleucel; R/R DLBCL 2+ prior lines; Global,
True,4,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,ORCHARRD,FACT-G / ORCHARRD,ClinicalTrials.gov [39],Ofatumumab versus rituximab salvage chemoimmunotherapy followed by autologous stem cell trans- plant in relapsed or refractory diffuse large B cell lymphoma (ORCHARRD) (NCT01014208),ClinicalTrials,2009,,,39,,,,,ClinicalTrials.gov. Ofatumumab versus rituximab salvage chemoimmunotherapy followed by autologous stem cell trans- plant in relapsed or refractory diffuse large B cell lymphoma (ORCHARRD) (NCT01014208). 2009. https://​clini​caltr​ials.​gov/​ ct2/​show/​NCT01​014208. Accessed 13 Dec 2022.,reference_number,NCT01014208,
True,5,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,SADAL,FACT-G / SADAL,Shah 2021 [38],Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma,Shah J,2021,,Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma,38,,,,,"Shah J, Shacham S, Kauffman M, et al. Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma. Future Oncol. 2021;17(11):1295–310.",reference_number,Phase 2b single-arm; selinexor; R/R DLBCL 2+ prior lines; Global,
True,6,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,SADAL,FACT-G / SADAL,Casasnovas 2020 [69],PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor,Casasnovas RO,2020,,PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor,69,,,,,"Casasnovas RO, Daniele P, Tremblay G, et al. PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor. Value Health. 2020;23(suppl 2):S479–80.",reference_number,Phase 2b single-arm; selinexor; R/R DLBCL 2+ prior lines; Global,
True,7,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-G,NCT00667615,FACT-G / NCT00667615,Straus 2015 [40],"Phase I/II trial of vorinostat with rituximab, cyclophosphamide, etoposide and prednisone as palliative treatment for elderly patients with relapsed or refractory diffuse large B-cell lymphoma not eli- gible for autologous stem cell transplantation",Straus DJ,2015,,,40,,,,,"Straus DJ, Hamlin PA, Matasar MJ, et al. Phase I/II trial of vorinostat with rituximab, cyclophosphamide, etoposide and prednisone as palliative treatment for elderly patients with relapsed or refractory diffuse large B-cell lymphoma not eli- gible for autologous stem cell transplantation. Br J Haematol. 2015;168(5):663–70.",reference_number,Phase 1/2 single-arm; R-CVEP; R/R DLBCL aged 60+; US,
True,8,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-Lym,JULIET,FACT-Lym / JULIET,Maziarz 2020 [19],Patient-reported long- term quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma,Maziarz RT,2020,,,19,,,,,"Maziarz RT, Waller EK, Jaeger U, et al. Patient-reported long- term quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma. Blood Adv. 2020;4(4):629–37.",reference_number,"Phase 2 single-arm; tisagenlecleucel; FACT-Lym TS, TOI, subscale; Global",
True,9,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-Lym,JULIET,FACT-Lym / JULIET,Tam 2019 [67],Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F,Tam CS,2019,,,67,,,,,"Tam CS, Waller EK, Jaeger U, et al. Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F. F. Liu et al. large B-cell lymphoma (DLBCL): 19-month follow-up (FU) of the Juliet study. Biol Blood Marrow Transplant. 2019;25(3):S181–2.",reference_number,"Phase 2 single-arm; tisagenlecleucel; FACT-Lym TS, TOI, subscale; Global",
True,10,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-Lym,JULIET,FACT-Lym / JULIET,Maziarz 2017 [68],Patient-reported qual- ity of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),Maziarz RT,2017,,,68,,,,,"Maziarz RT, Bishop MR, Tam CS, et al. Patient-reported qual- ity of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL). Blood. 2017;130(suppl 1):5215.",reference_number,"Phase 2 single-arm; tisagenlecleucel; FACT-Lym TS, TOI, subscale; Global",
True,11,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-Lym,ORCHARRD,FACT-Lym / ORCHARRD,ClinicalTrials.gov [39],Ofatumumab versus rituximab salvage chemoimmunotherapy followed by autologous stem cell trans- plant in relapsed or refractory diffuse large B cell lymphoma (ORCHARRD) (NCT01014208),ClinicalTrials,2009,,,39,,,,,ClinicalTrials.gov. Ofatumumab versus rituximab salvage chemoimmunotherapy followed by autologous stem cell trans- plant in relapsed or refractory diffuse large B cell lymphoma (ORCHARRD) (NCT01014208). 2009. https://​clini​caltr​ials.​gov/​ ct2/​show/​NCT01​014208. Accessed 13 Dec 2022.,reference_number,NCT01014208,
True,12,2,Overview of included studies on HRQOL measures,Assessment method / instrument,FACT-Lym,SADAL,FACT-Lym / SADAL,Shah 2021 [38],Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma,Shah J,2021,,Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma,38,,,,,"Shah J, Shacham S, Kauffman M, et al. Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma. Future Oncol. 2021;17(11):1295–310.",reference_number,Phase 2b single-arm; selinexor; FACT-Lym TS and TOI; Global,
